disorder name 	icd-10 code	source
hémorragie interne 	R58	wikidata
hémorragique 	R58	wikidata
saignement 	R58	wikidata
syndrome hémorragique 	R58	wikidata
fièvre q 	A78	wikidata
coxiellose 	A78	wikidata
fievre q 	A78	wikidata
histiocytose malin 	C96.A	wikidata
sarcome histiocytaire 	C96.A	wikidata
goitre 	E04.9	wikidata
goître 	E04.9	wikidata
goître thyroïdien 	E04.9	wikidata
goitre toxique 	E04.9	wikidata
goitreux 	E04.9	wikidata
goîtreux 	E04.9	wikidata
goitrogène 	E04.9	wikidata
goitrogénèse 	E04.9	wikidata
thyrocèle 	E04.9	wikidata
syndrome de épuisement professionnel 	Z73.0	wikidata
burnout 	Z73.0	wikidata
myélinolyse centropontin 	G37.2	wikidata
myélinolyse centro- pontique 	G37.2	wikidata
maladie de huntington 	G10	wikidata
choree de huntington 	G10	wikidata
chorée de huntington 	G10	wikidata
syndrome prémenstruel 	N94.3	wikidata
spm 	N94.3	wikidata
syndrome premenstruel 	N94.3	wikidata
diabète insipide 	E23.2	wikidata
diabete insipide 	E23.2	wikidata
diabète non sucrer 	E23.2	wikidata
endocardite 	I33.9	wikidata
maladie de osler 	I33.9	wikidata
démence 	F00	wikidata
sénilité 	F00	wikidata
demence 	F00	wikidata
syndrome dementiel 	F00	wikidata
syndrome démentiel 	F00	wikidata
reflux gastro- oesophagien 	K21.9	wikidata
k21 	K21.9	wikidata
métaplasie de le oesophage 	K21.9	wikidata
reflux gastrique 	K21.9	wikidata
reflux gastro oesophagien 	K21.9	wikidata
reflux gastroesophagien 	K21.9	wikidata
fvh 	F64.0	wikidata
hvf 	F64.0	wikidata
shemale 	F64.0	wikidata
shemales 	F64.0	wikidata
transexualisme 	F64.0	wikidata
transexualité 	F64.0	wikidata
transexuel 	F64.0	wikidata
transexuelle 	F64.0	wikidata
transidentitaire 	F64.0	wikidata
transsexualisme 	F64.0	wikidata
transsexualité 	F64.0	wikidata
péritonite 	K65	wikidata
peritonite 	K65	wikidata
névrose obsessionnel 	F60.5	wikidata
anankastique 	F60.5	wikidata
trouble de le personnalite anankastique 	F60.5	wikidata
trouble de le personnalité anankastique 	F60.5	wikidata
trouble de le personnalité de type compulsif 	F60.5	wikidata
trouble de le personnalité obsessionnel compulsif 	F60.5	wikidata
fracture de col de fémur 	S72.0	wikidata
fracture de col de femur 	S72.0	wikidata
fracture de col fémoral 	S72.0	wikidata
chikungunya 	A92.0	wikidata
chik 	A92.0	wikidata
chikungugna 	A92.0	wikidata
chikungunia 	A92.0	wikidata
hypocondrie 	F45.21	wikidata
trouble hypocondriaque 	F45.21	wikidata
saturnisme 	T56.0	wikidata
empoisonnement à plomb 	T56.0	wikidata
hüttenkatze 	T56.0	wikidata
intoxication à plomb 	T56.0	wikidata
plomburie 	T56.0	wikidata
saturnine 	T56.0	wikidata
fièvre typhoïde 	A01.00	wikidata
fièvre paratyphoïde 	A01.00	wikidata
fièvre thyphoïde 	A01.00	wikidata
fievre typhoide 	A01.00	wikidata
thyphoide 	A01.00	wikidata
typhoide 	A01.00	wikidata
typhoïde 	A01.00	wikidata
typhus abdominal 	A01.00	wikidata
presbytie 	H52.4	wikidata
monovision 	H52.4	wikidata
presbyte 	H52.4	wikidata
a-beta-lipoprotéinémie 	E78.6	wikidata
avoir beta lipoprotéinémie 	E78.6	wikidata
a-beta-lipoproteinemie 	E78.6	wikidata
syndrome de bassen et kornzweig 	E78.6	wikidata
syndrome de bassen-kornzweig 	E78.6	wikidata
trouble de le personnalité dépendant 	F60.7	wikidata
trouble de le personnalite dependant 	F60.7	wikidata
oeuf clair 	O02.0	wikidata
grossesse non embryonné 	O02.0	wikidata
sac ovulaire non embryonné 	O02.0	wikidata
choc anaphylactique 	T78.2	wikidata
anaphylaxie 	T78.2	wikidata
gangrène 	R02	wikidata
gangrene 	R02	wikidata
psychose 	F29	wikidata
trouble psychotique 	F29	wikidata
troubles psychotique 	F29	wikidata
sarcoïdose 	D86.9	wikidata
lymphogranulomatosis benigna 	D86.9	wikidata
maladie de besnier-boeck-schaumann 	D86.9	wikidata
sarcoidose 	D86.9	wikidata
sarkoidose 	D86.9	wikidata
burn-out 	Z73.0	wikidata
épuisement professionnel 	Z73.0	wikidata
surmenage 	Z73.0	wikidata
syndrôme de épuisement professionnel 	Z73.0	wikidata
syndrome de burnout 	Z73.0	wikidata
leishmaniose 	B55.9	wikidata
b55 	B55.9	wikidata
leishmaniasis 	B55.9	wikidata
cancer de le peau 	C43	wikidata
cancer de le peau 	C43	wikidata
acouphène 	H93.1	wikidata
accouphene 	H93.1	wikidata
accouphène 	H93.1	wikidata
acouphene 	H93.1	wikidata
acouphène 	H93.1	wikidata
bruit fantôme 	H93.1	wikidata
tinnitus 	H93.1	wikidata
syndrome respiratoire aigu sévère 	J12.81	wikidata
pneumopathie atypique 	J12.81	wikidata
severe acute respiratory syndrome 	J12.81	wikidata
sras 	J12.81	wikidata
syndrôme respiratoire aigu sévère 	J12.81	wikidata
syndrome respiratoire aigu sévère lier à coronaviru 	J12.81	wikidata
broncho- pneumopathie chronique obstructif 	J44.9	wikidata
bpco 	J44.9	wikidata
bpoc 	J44.9	wikidata
bronchite chronique obstructif 	J44.9	wikidata
broncho- pneumopathie obstructif chronique 	J44.9	wikidata
maladie pulmonaire obstructif chronique 	J44.9	wikidata
mpoc 	J44.9	wikidata
épistaxis 	R04.0	wikidata
épistaxie 	R04.0	wikidata
epistaxis 	R04.0	wikidata
epitaxis 	R04.0	wikidata
saignement de nez 	R04.0	wikidata
supraocclusion 	K07.2	wikidata
surocclusion vertical 	K07.2	wikidata
syndrome de canal carpien 	G56.00	wikidata
syndrome de compression vasculo- nerveux 	G56.00	wikidata
décalage horaire 	G47.2	wikidata
jetlag 	G47.2	wikidata
decalage horaire 	G47.2	wikidata
jet lag 	G47.2	wikidata
jet-lag 	G47.2	wikidata
hydrocéphalie 	G91.9	wikidata
hydrocéphale 	G91.9	wikidata
hydrocephalie 	G91.9	wikidata
maladie de gille de le tourette 	F95.2	wikidata
le syndrome gille de le tourette 	F95.2	wikidata
maladie de tourette 	F95.2	wikidata
syndrome de gille de le tourette 	F95.2	wikidata
syndrome de le tourette 	F95.2	wikidata
syndrome de tourette 	F95.2	wikidata
syndrome gille de le tourette 	F95.2	wikidata
filariose lymphatique 	B74.0	wikidata
filariose de bancroft 	B74.0	wikidata
kuru 	A81.81	wikidata
maladie de kuru 	A81.81	wikidata
porphyrie variegata 	E80.2	wikidata
déficit en protoporphyrinogène-oxydase 	E80.2	wikidata
hypotension artériel 	I95	wikidata
baisse de tension 	I95	wikidata
chute de tension artériel 	I95	wikidata
hypota 	I95	wikidata
hypotension 	I95	wikidata
hypotension arteriel 	I95	wikidata
aménorrhée 	N91.2	wikidata
amenorrhee 	N91.2	wikidata
syndrome de gougerot-sjögren 	M35.00	wikidata
syndrome de gougerot-sjogren 	M35.00	wikidata
syndrome de goujerot-sjogren 	M35.00	wikidata
syndrome de goujerot-sjögren 	M35.00	wikidata
syndrome de sjogren 	M35.00	wikidata
syndrome de sjögren 	M35.00	wikidata
syndrome sec 	M35.00	wikidata
dermatite 	L30.9	wikidata
dermatite de contact 	L30.9	wikidata
dermatite de contact allergique 	L30.9	wikidata
anaphylactique 	T78.2	wikidata
réaction anaphylactique 	T78.2	wikidata
prurit 	L29	wikidata
démangeaison 	L29	wikidata
irritation de le peau 	L29	wikidata
prurigineuse 	L29	wikidata
prurigineux 	L29	wikidata
prurit ano- génital 	L29	wikidata
encéphalite 	B94.1	wikidata
encephalite 	B94.1	wikidata
furoncle 	L02	wikidata
furonculose 	L02	wikidata
phénylcétonurie 	E70.0	wikidata
maladie de følling 	E70.0	wikidata
phenylcetonurie 	E70.0	wikidata
gonorrhée 	A54.9	wikidata
blennoragie 	A54.9	wikidata
blennorragie 	A54.9	wikidata
chaud pisse 	A54.9	wikidata
chaude-pisse 	A54.9	wikidata
chtouille 	A54.9	wikidata
gonococcie 	A54.9	wikidata
gonorrhee 	A54.9	wikidata
brûlure 	T31	wikidata
brulure 	T31	wikidata
brûlure 	T31	wikidata
agoraphobie 	F40.00	wikidata
agoraphobe 	F40.00	wikidata
peur social 	F40.00	wikidata
épidémie de sra 	J12.81	wikidata
lymphome de manteau 	C85.7	wikidata
lymphome de cellule de manteau 	C85.7	wikidata
trouble de le personnalité 	F60	wikidata
personnalité pathologique 	F60	wikidata
trouble de le personnalite 	F60	wikidata
troubles de le personnalité 	F60	wikidata
hyperglycémie 	R73.9	wikidata
hyperglycemie 	R73.9	wikidata
shiga toxine escherichia coli 	A04.3	wikidata
stec 	A04.3	wikidata
syndrome 47 , xyy 	Q98.5	wikidata
disomie y 	Q98.5	wikidata
double y 	Q98.5	wikidata
schizophrénie hébéphrénique 	F20.1	wikidata
hébéphrénie 	F20.1	wikidata
hypersexualité 	F52.7	wikidata
nymphomanie 	F52.7	wikidata
satyriasis 	F52.7	wikidata
dermatite atopique 	L20.9	wikidata
dermite atopique 	L20.9	wikidata
eczéma atopique 	L20.9	wikidata
diabète de type 1 	E10	wikidata
diabète insulino- dépendre 	E10	wikidata
diabète juvénile 	E10	wikidata
hyperoxie 	T59.8	wikidata
effet lorrain smith 	T59.8	wikidata
effet paul bert 	T59.8	wikidata
dyspareunie 	N94.1	wikidata
algopareunie 	N94.1	wikidata
appendicite 	K37	wikidata
abcès appendiculaire 	K37	wikidata
typhlite 	K37	wikidata
nanisme 	E23.0	wikidata
personne de petit taille 	E23.0	wikidata
déshydratation 	E86	wikidata
déshydrater 	E86	wikidata
deshydratation 	E86	wikidata
déshydratation de aliment 	E86	wikidata
déshydratation global 	E86	wikidata
déshydrater 	E86	wikidata
déshydrater 	E86	wikidata
avitaminose 	E54	wikidata
hypovitaminose 	E54	wikidata
myopie 	H52.1	wikidata
myope 	H52.1	wikidata
ventricule droit à double sortie 	Q20.1	wikidata
ventricule droit avoir double sortir 	Q20.1	wikidata
neuropathie optique ischémique antérieur 	H47.01	wikidata
noia 	H47.01	wikidata
hémianopsie 	H53.4	wikidata
hemianopsie 	H53.4	wikidata
hyperplasie congénital de surrénal 	E25.9	wikidata
hyperplasie congenital de surrenale 	E25.9	wikidata
adrénoleucodystrophie lier à le x 	E71.529	wikidata
adrénoleucodystrophie 	E71.529	wikidata
adrenoleucodystrophie liee avoir le x 	E71.529	wikidata
syndrome de détresse respiratoire aigu 	J80	wikidata
sdra 	J80	wikidata
syndrome de detresse respiratoire aigue 	J80	wikidata
varice 	I83.90	wikidata
veine variqueux 	I83.90	wikidata
borréliose de lyme 	A69.20	wikidata
borreliose 	A69.20	wikidata
borrélioses 	A69.20	wikidata
calcul biliaire 	K80	wikidata
calcul biliaire 	K80	wikidata
cholélithiase 	K80	wikidata
lithiase biliaire 	K80	wikidata
lithiase cholécystique 	K80	wikidata
pierre à foie 	K80	wikidata
adénome 	D35.2	wikidata
adenome 	D35.2	wikidata
candidose 	B37.9	wikidata
candidiase 	B37.9	wikidata
candidose 	B37.9	wikidata
électrisation 	T75.4	wikidata
electrisation 	T75.4	wikidata
maladie adénomatoïde kystique de poumon 	Q34.8	wikidata
maladie adénomatoïde de poumon 	Q34.8	wikidata
syndrome de irradiation aigu 	T66	wikidata
fièvre de radiation 	T66	wikidata
mal de rayons 	T66	wikidata
maladie de rayons 	T66	wikidata
syndrome aigu de irradiation 	T66	wikidata
syndrome de irradiation aigue 	T66	wikidata
syndrome de irradiation aigüe 	T66	wikidata
syndrome de radio- exposition aigu 	T66	wikidata
embolie 	T79.0	wikidata
embolie graisseur 	T79.0	wikidata
embole 	T79.0	wikidata
embolisation 	T79.0	wikidata
phlyctène 	T14.0	wikidata
vésicule 	T14.0	wikidata
ampoule 	T14.0	wikidata
cancer de le ovaire 	C56	wikidata
tumeur ovarien 	C56	wikidata
thiosulfate de sodium 	T65.0	wikidata
e539 	T65.0	wikidata
hyposulfite de sodium 	T65.0	wikidata
na2s2o3 	T65.0	wikidata
achlorhydrie 	K31.8	wikidata
achlorydie 	K31.8	wikidata
hypochlorhydrie 	K31.8	wikidata
acné estival 	L56.4	wikidata
acné de majorque 	L56.4	wikidata
hidradénite suppurer 	L73.2	wikidata
hidradenitis suppurativa 	L73.2	wikidata
hidrosadenite 	L73.2	wikidata
hidrosadénite suppurer 	L73.2	wikidata
maladie de verneuil 	L73.2	wikidata
échinococcose cystique 	B67.4	wikidata
échinococcose hydatique 	B67.4	wikidata
hydatidose 	B67.4	wikidata
kyste hydatique 	B67.4	wikidata
paracoccidioïdose 	B41.9	wikidata
blastomycose sud-américain 	B41.9	wikidata
maladie de brill-zinsser 	A75.1	wikidata
typhus résurgent 	A75.1	wikidata
cancer de le oesophage 	C15.5	wikidata
adénocarcinome de le oesophage 	C15.5	wikidata
hématurie 	N02	wikidata
hematurie 	N02	wikidata
maladie de sommeil 	B56.9	wikidata
trypanosomiase africain 	B56.9	wikidata
trypanosomiase humain africain 	B56.9	wikidata
pneumothorax 	J93.1	wikidata
le pneumothorax 	J93.1	wikidata
pneumothorax en chirurgie thoracique 	J93.1	wikidata
ulcérer gastro- duodénal 	K27	wikidata
ulcère de le estomac 	K27	wikidata
ulcère gastrique 	K27	wikidata
ulcere gastro- duodenal 	K27	wikidata
ulcérer gastroduodénal 	K27	wikidata
ulcérer peptique 	K27	wikidata
bronchite 	J20.9	wikidata
bronchitique 	J20.9	wikidata
rhinite allergique 	J30	wikidata
rhume de foin 	J30	wikidata
cholécystite 	K81.9	wikidata
cholecystite 	K81.9	wikidata
adénome néphrogénique 	D30	wikidata
métaplasie néphrogénique 	D30	wikidata
craniosynostose 	Q75.0	wikidata
craniosténoses 	Q75.0	wikidata
aérophagie 	F45.3	wikidata
aerophagie 	F45.3	wikidata
trisomie 9 	Q92	wikidata
syndrome de gerstmann–sträussler–scheinker 	A81.82	wikidata
sgss 	A81.82	wikidata
spermatocèle 	N50.3	wikidata
kyste de le épididyme 	N50.3	wikidata
cancer de sein 	C50-C50	wikidata
cancer de le mamelle 	C50-C50	wikidata
cancer de sein 	C50-C50	wikidata
trouble de stress post-traumatique 	F43.10	wikidata
ptsd 	F43.10	wikidata
sspt 	F43.10	wikidata
espt 	F43.10	wikidata
état de stress post-traumatique 	F43.10	wikidata
névrose traumatique 	F43.10	wikidata
stress post-traumatique 	F43.10	wikidata
syndrome de stress post-traumatique 	F43.10	wikidata
tspt 	F43.10	wikidata
arrêt cardio- circulatoire 	I46	wikidata
arrêt cardiaque 	I46	wikidata
arrêt cardio- respiratoire 	I46	wikidata
arrêt cardio- ventilatoire 	I46	wikidata
asystolie 	I46	wikidata
syndrome de turner 	Q96.9	wikidata
syndrôme de turner 	Q96.9	wikidata
trouble bipolaire 	F31.9	wikidata
bi- polaire 	F31.9	wikidata
bipolarité 	F31.9	wikidata
dépression bipolaire 	F31.9	wikidata
folie à double forme 	F31.9	wikidata
folie circulaire 	F31.9	wikidata
maladie bipolaire 	F31.9	wikidata
maladie maniaco- dépressif 	F31.9	wikidata
maniaco- dépressif 	F31.9	wikidata
maniaco- depression 	F31.9	wikidata
maniaco- dépression 	F31.9	wikidata
névroser maniaco- dépressif 	F31.9	wikidata
phobie 	F40	wikidata
névroser phobique 	F40	wikidata
peur psychologique 	F40	wikidata
hypoglycémie 	E16.2	wikidata
hypoglycémiant 	E16.2	wikidata
hypoglycemie 	E16.2	wikidata
cholangiocarcinome 	C22.1	wikidata
cancer de voie biliaire 	C22.1	wikidata
did 	E10	wikidata
iddm 	E10	wikidata
diabete de type 1 	E10	wikidata
diabète de type i 	E10	wikidata
diabète inné 	E10	wikidata
hématome rétroplacentaire 	O20.0	wikidata
hematome retro- placentaire 	O20.0	wikidata
hématome rétro- placentaire 	O20.0	wikidata
placenta abruptio 	O20.0	wikidata
maladie cardio- vasculaire 	I51.6	wikidata
affection cardio- vasculaire 	I51.6	wikidata
maladie cardiovasculaire 	I51.6	wikidata
syndrome de guillain-barré 	G61.0	wikidata
guillain-barré 	G61.0	wikidata
endométriose 	N80.9	wikidata
endometriose 	N80.9	wikidata
ronflement 	R06.5	wikidata
rhonchopathie chronique 	R06.5	wikidata
ronflage 	R06.5	wikidata
trouble de sommeil 	G47	wikidata
somnipathie 	G47	wikidata
troubles de sommeil 	G47	wikidata
hypermétropie 	H52.0	wikidata
hypermetrope 	H52.0	wikidata
hypermétrope 	H52.0	wikidata
hypermetropie 	H52.0	wikidata
ménopause 	N95.0	wikidata
menopause 	N95.0	wikidata
syndrome cardio- facio- cutané 	Q87.8	wikidata
syndrome cardio- facio- cutane 	Q87.8	wikidata
micrognathie 	K07.0	wikidata
micrognathisme 	K07.0	wikidata
syndrome de joubert 	Q04.3	wikidata
agénésie de vermis cérébelleux 	Q04.3	wikidata
syndrome cérébello- oculo- rénal 	Q04.3	wikidata
syndrome de joubert-boltshauser 	Q04.3	wikidata
clonorchiase 	B66.1	wikidata
clonorchose 	B66.1	wikidata
syndrome de coffin-lowry 	Q87.8	wikidata
personnalité antisocial 	F60.2	wikidata
trouble de le personnalité antisocial 	F60.2	wikidata
trouble de le personnalité dyssocial 	F60.2	wikidata
vomissement 	R	wikidata
vomir 	R	wikidata
vomir 	R	wikidata
vomissage 	R	wikidata
vomissement 	R	wikidata
néphropathie diabétique 	E10.2	wikidata
nephropathie diabetique 	E10.2	wikidata
splénomégalie 	R16.1	wikidata
splenomegalie 	R16.1	wikidata
splénomegalie 	R16.1	wikidata
granulome 	L92	wikidata
granulomatose 	L92	wikidata
rate accessoire 	Q89.0	wikidata
polysplénie 	Q89.0	wikidata
rate surnuméraire 	Q89.0	wikidata
syndrome de régression caudal 	Q89.8	wikidata
agénésie sacrer 	Q89.8	wikidata
constipation 	K59.00	wikidata
apopathodiaphulatophobie 	K59.00	wikidata
constiper 	K59.00	wikidata
rétention fécal 	K59.00	wikidata
trouble de conduite alimentaire 	F50.9	wikidata
trouble alimentaire 	F50.9	wikidata
trouble de le alimentation 	F50.9	wikidata
trouble de comportement alimentaire 	F50.9	wikidata
troubles alimentaire 	F50.9	wikidata
troubles de conduite alimentaire 	F50.9	wikidata
troubles de comportement alimentaire 	F50.9	wikidata
carcinome canalaire in situ 	D05.1	wikidata
ccis 	D05.1	wikidata
acéruléoplasminémie 	E83.1	wikidata
acéruléoplasmine 	E83.1	wikidata
aceruleoplasminemie 	E83.1	wikidata
maladie de minamata 	T56.1	wikidata
minamata 	T56.1	wikidata
catastrophe de minamata 	T56.1	wikidata
gynécomastie 	N62	wikidata
gonflement de seins 	N62	wikidata
gynecomastie 	N62	wikidata
seins gonfler 	N62	wikidata
7772-98-7 	T65.0	wikidata
calcul rénal 	N20.9	wikidata
caillou à reins 	N20.9	wikidata
